Name,Value,Race,Index,Winner,Role,Film
Sigourney Weaver,1988,White,5,Non-Winner,Dian Fossey,Gorillas in the Mist
Isabelle Adjani,1989,Non-White,1,Non-Winner,Camille Claudel,Camille Claudel
Jessica Tandy,1989,White,1,Winner,Daisy Werthan,Driving Miss Daisy
Pauline Collins,1989,White,2,Non-Winner,Shirley ValentineBradshaw,Shirley Valentine
Jessica Lange,1989,White,3,Non-Winner,Ann Talbot,Music Box
Michelle Pfeiffer,1989,White,4,Non-Winner,Susie Diamond,The Fabulous Baker Boys
Kathy Bates,1990,White,1,Winner,Annie Wilkes,Misery
Anjelica Huston,1990,White,2,Non-Winner,Lilly Dillon,The Grifters
Julia Roberts,1990,White,3,Non-Winner,Vivian Ward,Pretty Woman
Meryl Streep,1990,White,4,Non-Winner,Suzanne Vale,Postcards from the Edge
Joanne Woodward,1990,White,5,Non-Winner,India Bridge,Mr Mrs Bridge
Jodie Foster,1991,White,1,Winner,Clarice Starling,The Silence of the Lambs
Geena Davis,1991,White,2,Non-Winner,Thelma Dickinson,Thelma Louise
Laura Dern,1991,White,3,Non-Winner,Rose,Rambling Rose
Bette Midler,1991,White,4,Non-Winner,Dixie Leonard,For the Boys
Susan Sarandon,1991,White,5,Non-Winner,Louise Sawyer,Thelma Louise
Emma Thompson,1992,White,1,Winner,Margaret Schlegel,Howards End
Catherine Deneuve,1992,White,2,Non-Winner,liane Devries,Indochine
Mary McDonnell,1992,White,3,Non-Winner,MayAlice Culhane,Passion Fish
Michelle Pfeiffer,1992,White,4,Non-Winner,Louise Irene Lurene Hallett,Love Field
Susan Sarandon,1992,White,5,Non-Winner,Michaela Murphy Odone,Lorenzos Oil
Angela Bassett,1993,Non-White,1,Non-Winner,Anna Mae Bullock Tina Turner,Whats Love Got to Do with It
Holly Hunter,1993,White,1,Winner,Ada McGrath,The Piano
Stockard Channing,1993,White,2,Non-Winner,Louisa Ouisa Kittredge,Six Degrees of Separation
Emma Thompson,1993,White,3,Non-Winner,Sarah Sally Kenton,The Remains of the Day
