Name,Value,Race,Gender,Index,Winner,Role,Film
Kenneth Branagh,1989,White,Male,3,Non-Winner,Kenneth Branagh,Henry V
Jim Sheridan,1989,White,Male,4,Non-Winner,Jim Sheridan,My Left Foot
Peter Weir,1989,White,Male,5,Non-Winner,Peter Weir,Dead Poets Society
Kevin Costner,1990,White,Male,1,Winner,Kevin Costner,Dances with Wolves
Francis Ford Coppola,1990,White,Male,2,Non-Winner,Francis Ford Coppola,The Godfather Part III
Stephen Frears,1990,White,Male,3,Non-Winner,Stephen Frears,The Grifters
Barbet Schroeder,1990,White,Male,4,Non-Winner,Barbet Schroeder,Reversal of Fortune
Martin Scorsese,1990,White,Male,5,Non-Winner,Martin Scorsese,Goodfellas
John Singleton,1991,Non-White,Male,1,Non-Winner,John Singleton,Boyz n the Hood
Jonathan Demme,1991,White,Male,1,Winner,Jonathan Demme,The Silence of the Lambs
Barry Levinson,1991,White,Male,2,Non-Winner,Barry Levinson,Bugsy
Ridley Scott,1991,White,Male,3,Non-Winner,Ridley Scott,Thelma Louise
Oliver Stone,1991,White,Male,4,Non-Winner,Oliver Stone,JFK
Clint Eastwood,1992,White,Male,1,Winner,Clint Eastwood,Unforgiven
Robert Altman,1992,White,Male,2,Non-Winner,Robert Altman,The Player
Martin Brest,1992,White,Male,3,Non-Winner,Martin Brest,Scent of a Woman
James Ivory,1992,White,Male,4,Non-Winner,James Ivory,Howards End
Neil Jordan,1992,White,Male,5,Non-Winner,Neil Jordan,The Crying Game
Jane Campion,1993,White,Female,1,Non-Winner,Jane Campion,The Piano
Steven Spielberg,1993,White,Male,2,Winner,Steven Spielberg,Schindlers List
Robert Altman,1993,White,Male,3,Non-Winner,Robert Altman,Short Cuts
James Ivory,1993,White,Male,4,Non-Winner,James Ivory,The Remains of the Day
Jim Sheridan,1993,White,Male,5,Non-Winner,Jim Sheridan,In the Name of the Father
Robert Zemeckis,1994,White,Male,1,Winner,Robert Zemeckis,Forrest Gump
Woody Allen,1994,White,Male,2,Non-Winner,Woody Allen,Bullets over Broadway
Krzysztof Kielowski,1994,White,Male,3,Non-Winner,Krzysztof Kielowski,Three Colours Red
Robert Redford,1994,White,Male,4,Non-Winner,Robert Redford,Quiz Show
Quentin Tarantino,1994,White,Male,5,Non-Winner,Quentin Tarantino,Pulp Fiction
Mel Gibson,1995,White,Male,1,Winner,Mel Gibson,Braveheart
Mike Figgis,1995,White,Male,2,Non-Winner,Mike Figgis,Leaving Las Vegas
Chris Noonan,1995,White,Male,3,Non-Winner,Chris Noonan,Babe
Michael Radford,1995,White,Male,4,Non-Winner,Michael Radford,Il Postino The Postman
Tim Robbins,1995,White,Male,5,Non-Winner,Tim Robbins,Dead Man Walking
Anthony Minghella,1996,White,Male,1,Winner,Anthony Minghella,The English Patient
